daodien,dienvien,loaiphim,nam_phathanh,name_en,name_vi,quocgia,theloai
Paul Scheuring,"Dominic Purcell, Peter Stormare, Robin Tunney, Wentworth Miller, ",Phim Hành động,2006,prison break season 2,vượt ngục phần 2,Phim Mỹ,Phim Hành động
Kim Young Kyoon,"Chun Jung Myung, Kim So Hyun, ",Phim Hành động,2014,reset,cuộc đối đầu ngoạn mục,Phim Hàn Quốc,Phim Hành động
Toshiaki Toyoda,"Elly, Masahiro Higashide, Motoki Fukami, ",Phim Hành động,2014,crows zero 3,bá vương học đường 3,Phim Nhật Bản,Phim Hành động
Jae Gyu Lee,"Hyun Bin, Jae yeong Jeong, Jo Jung Suk, ",Phim Hành động,2014,the fatal encounter,cuồng nộ bá vương,Phim Hàn Quốc,Phim Hành động
Paul Scheuring,"Amaury Nolasco, Bagwell Sarah Wayne Callies, Dominic Purcell, Robert knepper, Wentworth Miller, ",Phim Hành động,2007,prison break season 3,vượt ngục phần 3,Phim Mỹ,Phim Hành động
Phillip Noyce,"Brenton Thwaites, Jeff Bridges, Katie Holmes, Taylor Swift, ",Phim Hành động,2014,the giver,người truyền ký ức,Phim Mỹ,Phim Hành động
Bryan Singer,"Bill Nighy, Kenneth Branagh, Tom Cruise, ",Phim Hành động,2008,valkyrie,điệp vụ valkyrie,Phim Mỹ,Phim Hành động
Kevin Hooks,"Dominic Purcell, Robert knepper, Wentworth Miller, ",Phim Hành động,2008,prison break season 4,vượt ngục phần 4,Phim Mỹ,Phim Hành động
Felix Chong,"Châu Tấn, Cổ Thiên Lạc, Diệp Tuyền, Ngô Ngạn Tổ, ",Phim Hành động,2014,overheard 3,thiết thính phong vân 3,Phim Hồng Kong,Phim Hành động
Kader Ayd,"Avelawance Phillips, Malik Barnhardt, Tom Sizemore, ",Phim Hành động,2014,513 degrees,513 độ,Phim Mỹ,Phim Hành động
Antoni Stutz,"Aidan Quinn, Beau Bridges, Josh Henderson, ",Phim Hành động,2013,rushlights,đọ súng,Phim Mỹ,Phim Hành động
Teddy Chan,"Từ Nhược Tuyên, Vivian Hsu, ",Phim Hành động,2001,the accidental spy,điệp viên không chuyên,Phim Hồng Kong,Phim Hài
Brian Trenchard Smith,"John Cusack, Thomas Jane, Zoe Ventoura, ",Phim Hành động,2014,drive hard,đua xe tốc độ,Phim Mỹ,Phim Hành động
Martin Campbell,"Bill Paxton, Chris O'Donnell, Scott Glenn, ",Phim Hành động,2000,vertical limit,bão tuyết,Phim Mỹ,Phim Hành động
Ernie Barbarash,"Laila Ali, Michael Jai White, Neal McDonough, ",Phim Hành động,2014,falcon rising,chim ưng cất cánh,Phim Mỹ,Phim Hành động
Jin Jang,"Esom, Jeong se Oh, Seung won Cha, ",Phim Hành động,2014,man on high heels,thám tử giày cao gót,Phim Hàn Quốc,Phim Hành động
Lâm Chí Hoa,"Huỳnh Trí Hiền, Lâm Phong, Ngô Ỷ Lợi, Quan Ân Na, Từ Tử San, ",Phim Hành động,2012,highs and lows,ranh giới thiện ác,Phim Trung Quốc,Phim Hành động
Kim Jung Gyu,"Im Soo Hyang, Jin Se Yeon, Kim Hyun Joong, ",Phim Hành động,2014,inspiring generation,anh hùng thời đại,Phim Hàn Quốc,Phim Hành động
Son Hyung Suk,"Kim So Yeon, Lee Jun Ki, Park Ha Sun, Ryu Soo Yong, ",Phim Hành động,2014,two weeks,phải sống,Phim Hàn Quốc,Phim Hành động
Kim Hong Sun,"Kim So Eun, Lee Sang Yoon, Shin Sung rok, ",Phim Hành động,2014,liar game,cuộc chơi xảo trá,Phim Hàn Quốc,Phim Hành động
Alessandro Capone,"Danny Glover, Daryl Hannah, Michael Madsen, ",Phim Hành động,2014,2047 sights of death,đội cảm tử,Phim Mỹ,Phim Hành động
Kathrine Windfeld,"Mikael Persbrandt, Pernilla August, Seba Mubarak, ",Phim Hành động,2012,hamilton in the interest of the nation,điệp viên hamilton vì lợi ích quốc,Phim Mỹ,Phim Hành động
Ngô Vũ Sâm,"Châu bảo ý, Châu nhuận phát, Trương quốc vinh, ",Phim Hành động,1986,a better tomorrow,bản sắc anh hùng,Phim Hồng Kong,Phim Hành động
Mark Young,"Abigail Breslin, Alexa PenaVega, Sean Bean, ",Phim Hành động,2014,wicked blood,kẻ khát máu,Phim Mỹ,Phim Hành động
Đang cập nhật,"Chu Hậu Nhiệm, Lý Nam Tinh, Trịnh Huệ Ngọc, ",Phim Hành động,1993,the unbeatables,canh bạc cuộc đời,Phim Trung Quốc,Phim Hành động
Wes Ball,"Kaya Scodelario, Will Poulter, ",Phim Hành động,2014,the maze runner,giải mã mê cung,Phim Mỹ,Phim Hành động
Yang Jiang,"Kara Wong, Ma Qiang, Maria Makarenko, Ran Tian, Song Yang, Yang Juncheng, ",Phim Hành động,2014,target,mục tiêu,Phim Trung Quốc,Phim Hành động
Andy Wachowski,"Carrie-anne moss, Hugo Weaving, Keanu Reeves, Laurence Fishburne, ",Phim Hành động,2003,the matrix reloaded,ma trận tái lập,Phim Mỹ,Phim Hành động
Vương Tâm Ủy,"Mông Gia Tuệ, Ngô Trác Hy, Quan Lễ Kiệt, Trần Nhân Mỹ, Trần Triển Bằng, ",Phim Hành động,2014,htv2,nội gián atf,Phim Trung Quốc,Phim Hành động
Andy Wachowski,"Carrie-anne moss, Hugo Weaving, Keanu Reeves, Laurence Fishburne, ",Phim Hành động,2003,the matrix revolution,ma trận cuộc chiến cuối cùng,Phim Mỹ,Phim Hành động
Lý Quốc Lập,"Bành Vu Yến, Hàn Đống, Hồ Ca, Lưu Thi Thi, Tân Hạo, Trần Pháp Lai, Trương Khả Di, ",Phim Hành động,2014,sound of the desert,kỳ duyên trong gió,Phim Trung Quốc,Phim Hành động
Trần Mộc Thắng,"Ngô Kinh, Quách Phú Thành, Trương Tịnh Sơ, ",Phim Hành động,2010,city under siege,cuộc chiến dị nhân,Phim Trung Quốc,Phim Hành động
Nacho Vigalondo,"Elijah Wood, Neil Maskell, Sasha Grey, ",Phim Hành động,2014,open windows,thế giới wifi,Phim Mỹ,Phim Hành động
Đang cập nhật,"Châu Tuấn Vỹ, Dư Mộ Liên, Đường Ninh, Lạc Ứng Quân, Lâm Gia Hoa, Lâm Lợi, Liêu Khải Trí, Tưởng Tổ Mạn, ",Phim Hành động,2014,the borderline,cảnh giới tuyến,Phim Hồng Kong,Phim Hành động
