daodien,dienvien,loaiphim,nam_phathanh,name_en,name_vi,quocgia,theloai
Đang cập nhật,"Dương Tư Kỳ, Sầm Lệ Hương, Trịnh Hân Nghi, ",Phim Hài,2016,special female force,đặc nhiệm mỹ nhân,Phim Trung Quốc,Phim Hài
Đỗ Kỳ Phong,"Châu Tinh Trì, Mai Diễm Phương, Ngô Mạnh Đạt, ",Phim Hài,1992,justice my foot,xẩm xử quan,Phim Hồng Kong,Phim Hài
Joe Ma,"Châu Tinh Trì, Chingmy Yau, Mạc Văn Úy, ",Phim Hài,1997,lawyer lawyer,trạng sư xảo quyệt,Phim Hồng Kong,Phim Hài
Sylvia Chang,"Châu nhuận phát, Eason Chan, Sylvia Chang, ",Phim Hài,2015,design for living office,tình công sở,Phim Trung Quốc,Phim Hài
Hoàng Thái Lai,"Châu nhuận phát, Lưu Đức Hòa, Lưu Gia Linh, Vạn Tử Lương, Vương Tiểu Phượng, ",Phim Hài,1987,black vengeance,anh hùng hảo hán,Phim Hồng Kong,Phim Hài
Lý Lực Trì,"Châu Tinh Trì, Lương Gia Nhân, Nguyên Hoa, ",Phim Hài,1990,legend of the dragon,long tích truyền nhân,Phim Hồng Kong,Phim Hài
Dan Kwan,"Daniel Radcliffe, Mary Elizabeth Winstead, Paul Dano, ",Phim Hài,2016,swiss army man,xác chết biết nói,Phim Mỹ,Phim Hài
Phan Văn Kiệt,"Châu Tinh Trì, Mạc Thiếu Thông, Ngô Mẫn Đạt, ",Phim Hài,1990,lung fung restaurant,long phụng trà lâu,Phim Hồng Kong,Phim Hài
Konstantin Buslov,"Frida Cauchi, Ivan De Battista, Malcolm Ellul, ",Phim Hài,2014,avantyuristy,cuộc phưu lưu,Phim Mỹ,Phim Hài
Seth Gordon,"Mary Steenburgen, Reese Witherspoon, Vince Vaughn, ",Phim Hài,2008,four christmases,giáng sinh kỳ quặc,Phim Mỹ,Phim Hài
Diêm Phi,"Duẫn Chính, Mã Lệ, Trầm Đằng, ",Phim Hài,2015,goodbye mr loser,chàng ngốc đổi đời,Phim Trung Quốc,Phim Hài
Liễu Kha,"Âm Dịch Đồng, Hoàng Tử Đằng, Vương Văn, ",Phim Hài,2015,a tiger wife,sư tử hà đông,Phim Trung Quốc,Phim Hài
Brett Ratner,"Chris Tucker, Jackie Chan, Ken Leung, ",Phim Hài,1998,rush hour,giờ cao điểm,Phim Mỹ,Phim Hài
Sanjay Gadhvi,"Jimmy Shergill, Tulip Joshi, Uday Chopra, ",Phim Hài,2002,it's my friend's wedding,đám cưới bạn thân,Phim Ấn Độ,Phim Hài
