daodien,dienvien,loaiphim,nam_phathanh,name_en,name_vi,quocgia,theloai
Alister Grierson,"Ben O'Toole,Meg Fraser,Caroline Craig",Phim Kinh Dị - Ma,2020,bloody hell,địa ngục đẫm máu,Âu - Mỹ,"Phiêu Lưu - Hành Động,Hài Hước,Kinh Dị - Ma"
David Bruckner,"Rebecca Hall,Sarah Goldberg,Vondie Curtis-Hall",Phim Kinh Dị - Ma,2021,the night house,ngôi nhà về đêm,Âu - Mỹ,"Kinh Dị - Ma,Bí Ẩn - Siêu Nhiên"
Colin Tilley,"Halsey,Sasha Lane,Vuk Celebic",Phim Kinh Dị - Ma,2021,"if i can't have love, i want power","nếu không thể có tình yêu, tôi muốn có quyền lực",Âu - Mỹ,"Tâm Lý - Tình Cảm,Kinh Dị - Ma"
Park Hyun Suk,"Yoo Jae Myung,Han Ye Ri,Uhm Tae Goo,Lee Re,Heo Jung Eun,Park Mi Hyun",Phim Kinh Dị - Ma,2021,hometown,cố hương,Hàn Quốc,"Tâm Lý - Tình Cảm,Kinh Dị - Ma,Bí Ẩn - Siêu Nhiên"
Shane Dax Taylor,"Bella Thorne,Alyvia Alyn Lind,Skyler Samuels",Phim Kinh Dị - Ma,2021,masquerade,vũ hội hoá trang,Âu - Mỹ,Kinh Dị - Ma
Pawanrat Naksuriya,"James Ma,Nittha Jirayungyurn,Witthaya Wasukraipaisan",Phim Kinh Dị - Ma,2021,duang tah tee sarm,huệ nhãn,Thái Lan,"Tâm Lý - Tình Cảm,Hài Hước,Kinh Dị - Ma"
Ahn Gil Ho,"Han Hyo Joo,Park Hyung Sik,Jo Woo Jin,Park Joo Hee,Lee Ji Ha,Baek Hyun Jin",Phim Kinh Dị - Ma,2021,happiness,nắm giữ sinh mệnh,Hàn Quốc,"Tâm Lý - Tình Cảm,Kinh Dị - Ma"
Tommy Wirkola,"Noomi Rapace,Aksel Hennie,Atle Antonsen",Phim Kinh Dị - Ma,2021,the trip,cặp đôi sát ý,Âu - Mỹ,"Phiêu Lưu - Hành Động,Hài Hước,Kinh Dị - Ma"
David Gordon Green,"Jamie Lee Curtis,Judy Greer,Andi Matichak",Phim Kinh Dị - Ma,2021,halloween kills,lễ hội kinh hoàng,Âu - Mỹ,Kinh Dị - Ma
Simon Barrett,"Anna Hopkins,Christian Potenza,Brian Paul",Phim Kinh Dị - Ma,2021,v/h/s/94,đoạn băng kinh hoàng 94,Âu - Mỹ,"Kinh Dị - Ma,Bí Ẩn - Siêu Nhiên"
Claudia Llosa,"María Valverde,Dolores Fonzi,Guillermo Pfening",Phim Kinh Dị - Ma,2021,fever dream,ảo mộng ma quái,Âu - Mỹ,"Kinh Dị - Ma,Bí Ẩn - Siêu Nhiên"
Jacob Estes,"David Oyelowo,Storm Reid,Mykelti Williamson",Phim Kinh Dị - Ma,2019,don't let go,đừng buông tay,Âu - Mỹ,"Kinh Dị - Ma,Bí Ẩn - Siêu Nhiên"
Don Mancini,"Zackary Arthur,Brad Dourif,Carina Battrick",Phim Kinh Dị - Ma,2021,chucky,ma búp bê,Âu - Mỹ,"Kinh Dị - Ma,Bí Ẩn - Siêu Nhiên"
Banjong Pisanthanakun,"Sawanee Utoomma,Yada Narilya Gulmongkolpech,Siranee Yankittikant,Sueb Boonsong Nakphoo,Yasaka Chaisorn",Phim Kinh Dị - Ma,2021,the medium,bà đồng,Thái Lan,Kinh Dị - Ma
,"Darby Stanchfield,Connor Jessup,Emilia Jones,Jackson Robert Scott,Petrice Jones,Laysla De Oliveira",Phim Kinh Dị - Ma,2021,locke & key (season 2),chìa khoá chết chóc (phần 2),Âu - Mỹ,"Kinh Dị - Ma,Bí Ẩn - Siêu Nhiên"
Neil Burger,"Tye Sheridan,Lily-Rose Depp,Fionn Whitehead",Phim Khoa Học - Viễn Tưởng,2021,voyagers,bản năng hoang dại,Âu - Mỹ,"Phiêu Lưu - Hành Động,Khoa Học - Viễn Tưởng,Phim Chiếu Rạp"
Christopher Alender,"Brigitte Kali Canales,Andrea Cortes,Julia Vera",Phim Khoa Học - Viễn Tưởng,2020,the old ways,nghi lễ cổ xưa,Âu - Mỹ,"Khoa Học - Viễn Tưởng,Kinh Dị - Ma"
Tim Fehlbaum,"Nora Arnezeder,Sarah-Sofie Boussnina,Iain Glen",Phim Khoa Học - Viễn Tưởng,2021,tides,thủy triều,Âu - Mỹ,Khoa Học - Viễn Tưởng
Lý Hải Thục,"Cúc Tịnh Y,Trịnh Nghiệp Thành,Mễ Nhiệt,Tôn Nghệ Ninh",Phim Khoa Học - Viễn Tưởng,2021,love under the full moon,hãy yêu nhau dưới ánh trăng tròn,Trung Quốc,"Tâm Lý - Tình Cảm,Khoa Học - Viễn Tưởng"
Lưu Na,"Thạch Lương,Nhậm Trọng",Phim Khoa Học - Viễn Tưởng,2021,mutation on mars,sao hỏa dị biến,Trung Quốc,"Phiêu Lưu - Hành Động,Khoa Học - Viễn Tưởng"
Lâm Trân Chiêu,"Hà Thịnh Minh,Thương Minh Xán,Vu Vinh Quang",Phim Khoa Học - Viễn Tưởng,2021,restart the earth,khởi động địa cầu,Trung Quốc,"Phiêu Lưu - Hành Động,Khoa Học - Viễn Tưởng"
,"Pauline Etienne,Laurent Capelluto,Mehmet Kurtuluş",Phim Khoa Học - Viễn Tưởng,2021,into the night (season 2),vào đêm đen (phần 2),Âu - Mỹ,"Phiêu Lưu - Hành Động,Khoa Học - Viễn Tưởng"
Lư Kính Đào,"Ngũ Giao,Hạ Vọng",Phim Khoa Học - Viễn Tưởng,2021,invisible alien,quần thể vũ trụ,Trung Quốc,Khoa Học - Viễn Tưởng
Andrew Baird,"Travis Fimmel,Guy Pearce,Matilda Anna Ingrid Lutz",Phim Khoa Học - Viễn Tưởng,2021,zone 414,khu 414,Âu - Mỹ,Khoa Học - Viễn Tưởng
Chad Hartigan,"Olivia Cooke,Jack O'Connell,Soko",Phim Khoa Học - Viễn Tưởng,2020,little fish,ký ức mơ hồ,Âu - Mỹ,"Tâm Lý - Tình Cảm,Khoa Học - Viễn Tưởng"
Shawn Levy,"Ryan Reynolds,Jodie Comer,Lil Rel Howery,Joe Keery,Utkarsh Ambudkar",Phim Khoa Học - Viễn Tưởng,2021,free guy,giải cứu guy,Âu - Mỹ,"Phiêu Lưu - Hành Động,Khoa Học - Viễn Tưởng,Hài Hước,Phim Chiếu Rạp"
Neill Blomkamp,"Carly Pope,Chris William Martin,Michael J Rogers",Phim Khoa Học - Viễn Tưởng,2021,demonic,gọi quỷ,Khác,"Tâm Lý - Tình Cảm,Khoa Học - Viễn Tưởng,Kinh Dị - Ma"
,"Jared Harris,Lee Pace,Lou Llobell,Laura Birn,Terrence Mann",Phim Khoa Học - Viễn Tưởng,2021,foundation,lực lượng nền móng,Âu - Mỹ,"Phiêu Lưu - Hành Động,Khoa Học - Viễn Tưởng"
,"Jason Momoa,Sylvia Hoeks,Hera Hilmar,Christian Camargo,Archie Madekwe,Nesta Cooper",Phim Khoa Học - Viễn Tưởng,2021,see (season 2),thấy (phần 2),Âu - Mỹ,"Phiêu Lưu - Hành Động,Khoa Học - Viễn Tưởng"
Andi Armaganian,"Brec Bassinger,Yvette Monreal,Anjelika Washington,Cameron Gellman,Trae Romano,Hunter Sansone,Meg DeLacy,Nick Tarabay,Amy Smart,Luke Wilson",Phim Khoa Học - Viễn Tưởng,2021,stargirl (season 2),thiếu nữ siêu anh hùng (phần 2),Âu - Mỹ,"Phiêu Lưu - Hành Động,Khoa Học - Viễn Tưởng,Bí Ẩn - Siêu Nhiên"
,"Brenton Thwaites,Anna Diop,Teagan Croft,Ryan Potter,Conor Leslie,Curran Walters,Joshua Orpin,Alan Ritchson,Minka Kelly,Damaris Lewis,Savannah Welch",Phim Khoa Học - Viễn Tưởng,2021,titans (season 3),biệt đội titans (phần 3),Âu - Mỹ,"Phiêu Lưu - Hành Động,Khoa Học - Viễn Tưởng"
,"Phượng Tiểu Nhạc,Bốc Quan Kim,Hứa Vỹ Ninh,Chu Du,Vương Thuỵ Xương,Chu Nhan Mạn Tư",Phim Khoa Học - Viễn Tưởng,2021,dear diary,người tình babylon của tôi,Trung Quốc,"Tâm Lý - Tình Cảm,Khoa Học - Viễn Tưởng"
Donut Manatsanun Panlertwongskul,"Yam Matira Tantiprasut,Ryu Vachirawich Aranthanawong,Bomb Tanin Manoonsil,Mint Ranchrawee Uakoolwarawat",Phim Khoa Học - Viễn Tưởng,2021,may-december romance,﻿yêu thật chỉ là sinh ra trước,Thái Lan,"Tâm Lý - Tình Cảm,Khoa Học - Viễn Tưởng,Hài Hước"
,"Tăng Chi Kiều,Phó Mạnh Bách,Nhan Dục Lân",Phim Khoa Học - Viễn Tưởng,2021,rainless love in a godless land,mưa không rơi trên vùng đất vô thần,Đài Loan,"Tâm Lý - Tình Cảm,Khoa Học - Viễn Tưởng"
Doi Nobuhiro,"Oguri Shun,Matsuyama Kenichi,Watanabe Anne,Nakamura Toru,Kagawa Teruyuki,Wentz Eiji",Phim Khoa Học - Viễn Tưởng,2021,nihon chinbotsu: kibo no hito,mặt trời chìm đáy biển: những người mang hy vọng,Nhật Bản,"Tâm Lý - Tình Cảm,Khoa Học - Viễn Tưởng"
